"","Year","Month","Day","Tournament","Round","Surface","Win_Lose","serve_pts","aces","dfs","first_in","first_won","second_in","second_won","bk_pts","bp_saved","return_pts","return_pts_won","winners","winners_fh","winners_bh","unforced","unforced_fh","unforced_bh","pts_won","unret","forced_err","pts_won_lte_3_shots","wide","body","t"
"109","2015","08","21","Cincinnati","QF","hard","W",72,1,4,43,28,29,13,8,5,76,37,20,12,6,22,12,6,41,1,12,19,20,34,18
"110","2015","08","22","Cincinnati","SF","hard","W",42,2,3,28,19,14,6,2,0,58,35,20,9,8,16,7,6,25,1,8,11,13,14,15
"111","2015","08","23","Cincinnati","F","hard","L",71,2,1,52,32,19,6,6,3,80,30,18,11,5,17,9,7,38,0,14,20,13,37,21
"112","2015","09","01","US_Open","R128","hard","W",26,2,1,15,13,11,7,0,0,37,21,12,5,4,5,2,2,20,1,4,10,7,9,10
"113","2015","09","03","US_Open","R64","hard","W",52,4,3,27,21,25,14,1,0,64,30,18,11,2,13,4,6,35,1,10,18,18,17,17
"114","2015","09","07","US_Open","R16","hard","W",113,1,6,82,46,31,12,13,6,107,59,16,7,5,36,16,14,58,3,10,20,28,45,40
"115","2015","09","09","US_Open","QF","hard","W",88,4,5,67,47,21,6,5,0,111,53,39,19,14,27,7,15,53,2,11,24,20,26,41
"116","2015","09","11","US_Open","SF","hard","L",45,0,3,31,13,14,5,10,4,47,18,10,7,3,26,14,9,18,0,1,4,13,17,15
"117","2015","09","22","Guangzhou","R32","hard","W",52,5,7,31,24,21,6,3,1,58,31,23,11,7,28,13,8,30,0,9,17,18,8,26
"118","2015","09","23","Guangzhou","R16","hard","W",46,3,1,29,18,17,9,6,4,45,27,20,7,10,16,9,6,27,0,7,14,13,16,17
"119","2015","09","24","Guangzhou","QF","hard","L",55,3,3,28,19,27,8,7,3,62,23,14,5,5,29,17,9,27,1,8,16,21,12,22
"120","2015","09","29","Wuhan","R32","hard","W",48,3,2,28,20,20,13,4,3,40,23,17,7,7,8,2,4,33,0,7,18,14,15,19
"121","2015","09","30","Wuhan","R16","hard","L",109,2,4,64,40,45,21,14,9,92,38,23,16,4,45,16,25,61,1,11,27,34,38,37
"122","2015","10","25","Singapore","RR","hard","W",41,2,1,24,19,17,14,2,2,52,26,14,9,2,15,6,8,33,1,4,8,14,14,13
"123","2015","10","27","Singapore","RR","hard","L",71,1,2,50,29,21,8,11,6,63,27,10,6,3,29,15,12,37,0,8,11,14,38,19
"124","2015","10","29","Singapore","RR","hard","L",69,0,4,40,21,29,14,8,4,82,32,19,13,6,31,12,15,35,0,8,15,17,31,21
"125","2016","01","12","Sydney","R16","hard","W",79,2,4,58,38,21,10,5,3,78,34,18,6,9,32,16,12,48,1,11,22,26,26,27
"126","2016","01","13","Sydney","QF","hard","W",81,2,2,57,30,24,14,7,4,73,34,22,13,5,34,20,12,44,2,7,18,20,42,19
"127","2016","01","14","Sydney","SF","hard","L",97,1,3,70,43,27,12,7,3,116,54,31,19,10,44,18,23,55,1,9,20,24,50,23
"128","2016","01","19","Australian_Open","R128","hard","L",49,1,0,36,18,13,4,7,2,72,30,11,5,5,21,11,10,22,0,8,12,15,18,16
"129","2016","02","07","Fed_Cup_World_Group_R1","RR","hard","W",92,1,5,60,40,32,14,13,9,90,39,9,3,5,20,7,8,54,0,19,24,32,33,27
"130","2016","02","17","Dubai","R16","hard","L",73,1,3,49,29,24,7,9,5,82,32,13,7,4,34,17,14,36,1,8,11,12,41,20
"131","2016","02","23","Doha","R32","hard","L",96,2,6,53,29,43,19,15,7,117,55,31,18,11,51,21,24,48,0,7,15,24,50,22
"132","2016","03","11","Indian_Wells","R64","hard","W",41,2,0,30,18,11,8,3,1,39,29,18,6,10,14,6,8,26,0,3,6,17,15,9
"133","2016","03","13","Indian_Wells","R32","hard","W",44,1,0,33,24,11,8,1,0,55,26,16,11,3,16,9,7,32,1,6,10,15,22,7
"134","2016","03","16","Indian_Wells","QF","hard","L",58,1,2,36,21,22,11,9,5,50,15,9,6,2,17,11,4,32,0,7,15,10,30,18
"135","2016","03","24","Miami","R64","hard","W",56,1,1,40,26,16,8,4,1,74,41,25,15,9,31,23,7,34,0,3,9,23,16,17
"136","2016","03","26","Miami","R32","hard","W",60,0,0,41,26,19,12,8,7,77,40,17,11,6,23,13,10,38,0,9,16,17,23,20
"137","2016","03","28","Miami","R16","hard","W",54,2,2,42,25,12,8,4,1,69,35,11,3,6,19,11,6,33,0,9,16,19,15,20
"138","2016","03","29","Miami","QF","hard","L",81,0,2,51,29,30,16,9,4,96,39,17,9,8,44,18,24,45,0,5,11,25,32,24
